mesh_index,fbx_pos,fbx_end,sp3d_name,sp3d_type,sp3d_internal_type,object_id,sp3d_moniker,sp3d_display_name,sp3d_system_path,sp3d_bom_desc,sp3d_support_assembly,sp3d_support_weight,sp3d_status,sp3d_construction_type,sp3d_support_location
104,13702732,13707274,Flange-0015,Geometry Group,,1c72f1ea-cd3c-5240-b9d6-ccb9b5559229,,,,,,,,,
105,13711778,13716331,Flange-0213,Geometry Group,,da97a984-044b-5f04-8295-ae1ef5692c6e,,,,,,,,,
106,13716788,13721337,Flange-0214,Geometry Group,,226d51da-8063-5706-ae58-ec3011130911,,,,,,,,,
107,13726203,13730756,Flange-0016,Geometry Group,,e3c72c36-6375-565c-8c85-29a518b46e6a,,,,,,,,,
108,13733088,13737631,Flange-0017,Geometry Group,,7e3fdc2d-3cd3-597a-8ff7-7063502f7519,,,,,,,,,
109,13738088,13742637,Flange-0219,Geometry Group,,fc8a21a0-d6eb-5d89-8ca4-a4c9cb3defff,,,,,,,,,
110,13747874,13752414,Flange-0004,Geometry Group,,75f88432-0820-5850-82f5-c4bb7dbbe209,,,,,,,,,
111,13752871,13757433,Flange-0053,Geometry Group,,72254822-7a61-51c4-ae15-58a39010bae8,,,,,,,,,
112,13761958,13766457,Cap-0101,Geometry Group,,19e41ea8-e1a3-50ab-8129-b7046ff30a57,,,,,,,,,
113,13769875,13774428,Flange-0211,Geometry Group,,095ce973-fb57-5933-bf97-a243afab227f,,,,,,,,,
114,13774885,13779434,Flange-0212,Geometry Group,,53e4addc-1244-59d2-9b00-a73b58554b9f,,,,,,,,,
115,13785660,13787356,Geometry,Geometry Group,,,,,,,,,,,
116,13792431,13794127,Geometry,Geometry Group,,,,,,,,,,,
117,13800266,13801962,Geometry,Geometry Group,,,,,,,,,,,
118,13806466,13811006,Flange-0005,Geometry Group,,88869d97-4d0b-5ad7-b7c0-16d98677dec0,,,,,,,,,
119,13811463,13816016,Flange-0209,Geometry Group,,204f6fe4-8ed6-50ca-9117-adfe1129fcb9,,,,,,,,,
120,13816473,13821022,Flange-0210,Geometry Group,,7366ec69-3f2b-5710-bc16-fc5c94729cfc,,,,,,,,,
121,13828073,13832618,Flange-0047,Geometry Group,,7b2890cd-1ae8-5efc-a20a-74da90f5ec9a,,,,,,,,,
122,13833075,13837620,Flange-0048,Geometry Group,,48c9d696-abbc-5df6-80d1-b381b3c2e463,,,,,,,,,
123,13847270,13851816,Flange-0091,Geometry Group,,d1cffbf5-690d-5467-be55-07bd4b4cef08,,,,,,,,,
124,13853424,13857966,Flange-0541,Geometry Group,,7ce6f023-6b36-5d50-83ff-e7a1f870ef18,,,,,,,,,
125,13862910,13867452,Flange-0542,Geometry Group,,1207490d-bb49-5e67-9d19-7fec8af4f1e7,,,,,,,,,
126,13870183,13874762,Flange-1501,Geometry Group,,f1334004-4266-581d-9fae-2d43b107bece,,,,,,,,,
127,13875219,13879798,Flange-1502,Geometry Group,,9c62f534-dc4c-5a3c-9068-519414b4843b,,,,,,,,,
128,13880255,13884834,Flange-1503,Geometry Group,,e1db9be6-0ace-5fa1-90f4-f45cb9a942ed,,,,,,,,,
129,13885291,13889870,Flange-1504,Geometry Group,,8135b885-c52a-5481-b6a5-ad2d6ec67692,,,,,,,,,
130,13932042,13935972,Duct Banks_Conduit Run-1-107-COND-0002,Geometry Group,,db6238f5-3065-5f44-9f1a-e0747a383eb8,,,,,,,,,
131,13937248,13941170,Duct Banks_Conduit Run-1-107-COND-0006,Geometry Group,,da8f7c16-0b22-5172-b752-d59286245c8f,,,,,,,,,
132,13942446,13946368,Duct Banks_Conduit Run-1-107-COND-0008,Geometry Group,,57955904-db1e-562a-885b-c3e0d5686ae6,,,,,,,,,
133,13947644,13951574,Duct Banks_Conduit Run-1-107-COND-0011,Geometry Group,,05ec17bc-2579-5cd5-9a49-3b29afccc41a,,,,,,,,,
134,13954397,13958327,Duct Banks_Conduit Run-1-108-COND-0002,Geometry Group,,368310a6-7ede-5313-9ba8-0d2ef92b48f2,,,,,,,,,
135,13959603,13963525,Duct Banks_Conduit Run-1-108-COND-0006,Geometry Group,,857c5db2-bfa7-5041-99e2-82f150d95eaf,,,,,,,,,
136,13964801,13968723,Duct Banks_Conduit Run-1-108-COND-0008,Geometry Group,,088b8eda-b9b4-5196-bf49-b2078bef4382,,,,,,,,,
137,13969999,13973929,Duct Banks_Conduit Run-1-108-COND-0011,Geometry Group,,23c8f600-bfb0-539a-9f49-f1f35025a345,,,,,,,,,
138,13986888,13990817,Duct Banks_Conduit Run-1-137-COND-0002,Geometry Group,,d4925430-4ffe-5312-a840-f32160b0e4cf,,,,,,,,,
139,13993640,13997569,Duct Banks_Conduit Run-1-138-COND-0002,Geometry Group,,3c32cf8d-011b-567e-b491-7d7046042039,,,,,,,,,
140,14014804,14018464,AHU-01,Geometry Group,,c238321d-3e2c-5a3e-8a6f-271472d13813,,,,,,,,,
141,14022951,14026687,D24X24RND8-01,Geometry Group,,2c732fff-ad7c-5d5d-8550-58f18eb6dd7b,,,,,,,,,
142,14029429,14033165,D24X24RND8-02,Geometry Group,,573e8ab6-324e-5619-88b1-2cfd948c9971,,,,,,,,,
143,14035907,14039642,D24X24RND8-03,Geometry Group,,b5433f49-b6d7-5330-845d-9881180d1428,,,,,,,,,
144,14042384,14046120,D24X24RND8-04,Geometry Group,,63f7d491-d8cf-53d8-9066-fef80e341b46,,,,,,,,,
145,14048862,14052598,D24X24RND8-05,Geometry Group,,9f0620af-0774-5f21-8f7d-3492b4baff50,,,,,,,,,
146,14055340,14059075,D24X24RND8-06,Geometry Group,,49ed978b-a682-5444-9d77-34bcdb4504b5,,,,,,,,,
147,14104428,14108143,Aspects,Geometry Group,,2498c690-b746-5e73-81b9-3ed3b9918e07,,,,,,,,,
148,14110423,14114138,Aspects,Geometry Group,,4f8d176b-d9ef-56ce-9bd4-505e90f4c718,,,,,,,,,
149,14116414,14120117,Aspects,Geometry Group,,6fdc43e9-d824-56f8-a282-13e1a77ca949,,,,,,,,,
150,14125403,14129962,Flange-0491,Geometry Group,,380fc2b4-7fb1-540f-937a-59a26cebb309,,,,,,,,,
151,14132688,14137240,Flange-0500,Geometry Group,,f43e132e-47db-5222-b24d-1ebc73908faa,,,,,,,,,
152,14141414,14145986,Flange-0537,Geometry Group,,52ebf417-ae48-5058-a5e5-b8828e9ff0db,,,,,,,,,
153,14146443,14151015,Flange-0538,Geometry Group,,300c5b92-148d-5f21-afa9-1b8f0324535f,,,,,,,,,
154,14151472,14156044,Flange-0539,Geometry Group,,503e1d72-02ff-50f8-aced-1bdc1759044d,,,,,,,,,
155,14156501,14161073,Flange-0540,Geometry Group,,09574184-70ba-5226-974e-950f13cb61f4,,,,,,,,,
156,14165971,14170529,Flange-0445,Geometry Group,,778fbf5a-b98d-5742-b08f-74719570d25e,,,,,,,,,
157,14174350,14178892,Flange-0518,Geometry Group,,f80a949b-3fe3-53f7-bbc7-503ae0398c58,,,,,,,,,
158,14179806,14184339,Flange-0519,Geometry Group,,2c116d26-ab2e-5deb-b720-963c60428194,,,,,,,,,
159,14185253,14189786,Flange-0520,Geometry Group,,c39b5b07-e2f6-51f4-8e34-5c40b74a0ae0,,,,,,,,,
160,14190700,14195233,Flange-0521,Geometry Group,,aeb08ff2-ec18-5189-b997-2f725c95df25,,,,,,,,,
161,14196147,14200680,Flange-0522,Geometry Group,,e0104919-9f26-5938-bb80-e3bceb2d2d6b,,,,,,,,,
162,14201594,14206127,Flange-0523,Geometry Group,,b90b1b2d-7f5a-51a6-b540-08a6246fa41d,,,,,,,,,
163,14207041,14211574,Flange-0524,Geometry Group,,e9a072ad-1493-5136-985e-a3d1fd6a68fc,,,,,,,,,
164,14218024,14222592,Flange-0452,Geometry Group,,bc7c4519-0cea-5486-9d1d-48feb288869b,,,,,,,,,
165,14223049,14227603,Flange-0532,Geometry Group,,2c2b9d8c-812d-51f2-b7dd-49c1d449d4c4,,,,,,,,,
166,14231415,14235983,Flange-0474,Geometry Group,,04c35b9d-d1df-5255-a02e-08c2f0f5a233,,,,,,,,,
167,14239071,14243623,Flange-0536,Geometry Group,,9693013a-118e-5c91-95e0-f0bbafc6c59d,,,,,,,,,
168,14251412,14255304,CT-ET--0011-TRAY-0002,Geometry Group,,ba9fbdda-3061-5317-846e-07ea01165850,,,,,,,,,
169,14258061,14261953,CT-ET--0012-TRAY-0002,Geometry Group,,cdad9cf1-7187-53c9-85c0-dc4e7e3ffca6,,,,,,,,,
170,14265796,14269672,CT-ET--0022-TRAY-0002,Geometry Group,,d96a9ff9-ec7c-5218-b1e4-c87253e64efe,,,,,,,,,
171,14272886,14276762,CT-ET--0023-TRAY-0002,Geometry Group,,55b1522b-abb5-5149-b06f-1b8e547b2dfb,,,,,,,,,
172,14366235,14369916,PDB-101,Geometry Group,,abc43ecc-188a-5c9d-815b-d72d4e57f59e,,,,,,,,,
173,14471050,14474754,Aspects,Geometry Group,,0ec90f97-a40d-5c5a-aad2-64035940ff44,,,,,,,,,
174,14476668,14480310,Aspects,Geometry Group,,925b64b7-e54f-5605-bb85-1cf8ab5d9baa,,,,,,,,,
175,14488988,14493547,Flange-2201,Geometry Group,,6fdf39ba-0ce8-504f-8dca-b056bcedeb95,,,,,,,,,
176,14494004,14498587,Flange-2202,Geometry Group,,93ef3e30-3716-5daf-b543-dd31fd04da78,,,,,,,,,
177,14499044,14503614,Flange-2203,Geometry Group,,c3d10704-9f59-5b57-a6ab-cb738ca5c1f9,,,,,,,,,
178,14504071,14508642,Flange-2204,Geometry Group,,5e6b8095-ff65-519e-ae27-c13487832c8a,,,,,,,,,
179,14512485,14517055,Flange-2205,Geometry Group,,fd2dc0ec-39dc-5370-86e1-e4355ac11a13,,,,,,,,,
180,14517512,14522083,Flange-2206,Geometry Group,,c972112a-be74-5208-af5f-1743920ceb9b,,,,,,,,,
181,14540115,14544674,Flange-1217,Geometry Group,,a2bf751e-ffe5-5837-8654-25e9399e5f1f,,,,,,,,,
182,14545131,14549689,Flange-1218,Geometry Group,,69414c8d-2fe5-59b7-8a9a-0b5b424f919d,,,,,,,,,
183,14557492,14562050,Flange-1220,Geometry Group,,4b10d70c-62a7-5e9b-b22b-e9aac4348d68,,,,,,,,,
184,14562507,14567065,Flange-1221,Geometry Group,,9ca99e07-b392-57e0-a141-7a17b40ca807,,,,,,,,,
185,14574144,14578702,Flange-1222,Geometry Group,,f5da2228-e538-5136-ae9e-6f09d631d87d,,,,,,,,,
186,14579159,14583721,Flange-1223,Geometry Group,,de8fae27-3416-5e8c-82d8-572896342087,,,,,,,,,
187,14584178,14588740,Flange-1224,Geometry Group,,82228cfb-3533-5e5d-bfd5-966fdd95ab31,,,,,,,,,
188,14594334,14598881,Flange-1229,Geometry Group,,2cd712bd-50de-5abe-990d-05bac8ebd85f,,,,,,,,,
189,14605317,14609865,Flange-1210,Geometry Group,,a6bccf68-6948-545a-aab5-a676707210ca,,,,,,,,,
190,14612579,14617137,Flange-1211,Geometry Group,,2f82cd44-fac5-50fd-a7ca-cc1cd5049d67,,,,,,,,,
191,14617594,14622152,Flange-1212,Geometry Group,,56f48234-7186-53b6-831e-a036338d8f47,,,,,,,,,
192,14626314,14630861,Flange-1203,Geometry Group,,c01d86f6-1317-526a-a606-da2268955961,,,,,,,,,
193,14637622,14642165,Flange-1207,Geometry Group,,34cce662-fc1a-5c3c-8137-d13ba21aa973,,,,,,,,,
194,14642622,14647169,Flange-1208,Geometry Group,,64c2048c-c0b4-5836-9265-55a6dec3bc02,,,,,,,,,
195,14651311,14655853,Flange-1204,Geometry Group,,9f1bff03-e538-546f-94b1-f4ddf6060356,,,,,,,,,
196,14657823,14662361,Flange-1209,Geometry Group,,85dcd2e1-53c8-51c0-bfe1-56db86ec0642,,,,,,,,,
197,14665796,14670344,Flange-1205,Geometry Group,,f1fed953-83ee-595b-87d1-bbd6ff970189,,,,,,,,,
198,14670801,14675343,Flange-1206,Geometry Group,,8ce08d56-7e36-5df6-ba4f-a3c65c9b5a2d,,,,,,,,,
199,14681417,14685964,Flange-1214,Geometry Group,,68c29edc-f315-53df-b24f-07d5bfbf9061,,,,,,,,,
