mesh_index,fbx_pos,fbx_end,sp3d_name,sp3d_type,sp3d_internal_type,object_id,sp3d_moniker,sp3d_display_name,sp3d_system_path,sp3d_bom_desc,sp3d_support_assembly,sp3d_support_weight,sp3d_status,sp3d_construction_type,sp3d_support_location
629,18544372,18548339,U01-CW003-ET--0001-TRAY-0001,Geometry Group,SP3D Entity,0eb9ec53-b557-5558-8da1-a4097cbb87cb,@a=0027!!80056##720109690309955015,U01-CW003-ET--0001-TRAY-0001,TRAINING\Sulphur Recovery Area\Main Pipe Rack\U01-ElectricalSystems\U01-CW003\U01-CW003-ET--0001,,,,Working,New,
630,18563804,18565500,Geometry,Geometry,SP3D Entity,,,,,,,,,,
631,18579770,18584422,Flange-3670,Geometry Group,SP3D Entity,50eeba96-90a9-59aa-afd6-6779b81bc180,@a=0027!!80005##720109690309960740,Flange-3670,TRAINING\Sulphur Recovery Area\Main Pipe Rack\U01-PipingSystems\U01-PipingSys-Utility\U01-PA-2001\Main Pipe Rack-4-GLP-0104-1C0031,,,,Working,New,
632,18589001,18593643,Flange-3669,Geometry Group,SP3D Entity,f5bd5ca7-8f7c-5c7a-add3-538a4c053ba5,@a=0027!!80005##720109690309960531,Flange-3669,TRAINING\Sulphur Recovery Area\Main Pipe Rack\U01-PipingSystems\U01-PipingSys-Utility\U01-UA-2001\Main Pipe Rack-6-X-0102-1C0031,,,,Working,New,
633,18645295,18648970,Aspects,Geometry Group,SP3D Entity,213ee16d-25f9-5ac3-96a3-c029f8a9b526,@a=0027!!20014##720109690309957314,D-101,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Equipment,,,,Working,New,
634,18659143,18662916,Aspects,Geometry Group,SP3D Entity,396c5fba-761f-50a1-bba2-09f13e3e2a64,@a=0027!!20014##720109690309957315,"HCPump043""x2""-E-1-0201",TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Equipment,,,,Working,New,
635,18665227,18668911,Aspects,Geometry Group,SP3D Entity,8678c43a-ca42-5baf-8dcb-a5f139621cce,@a=0027!!20014##720109690309963533,Injection tank,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Equipment,,,,Working,New,
636,18672200,18675957,Aspects,Geometry Group,SP3D Entity,c2c205f9-3c7e-5ac5-87d6-429f12ac0d46,@a=0027!!20014##720109690309957463,P-100A,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Equipment,,,,Working,New,
637,18678297,18682069,Aspects,Geometry Group,SP3D Entity,f6910a55-6313-55c9-ac2d-88862b2a984c,@a=0027!!20014##720109690309957464,PUMP001A_IMP-E-1-0302,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Equipment,,,,Working,New,
638,18688500,18693116,Flange-3483,Geometry Group,SP3D Entity,081b515c-7e1b-507a-b9d7-28c1d439327c,@a=0027!!80005##720109690309957615,Flange-3483,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-001\ModuleAssembly-001-8-P-0501-1C0031,,,,Working,New,
639,18693573,18698189,Flange-3484,Geometry Group,SP3D Entity,976bfb48-ea4a-5f28-a379-e439559a6690,@a=0027!!80005##720109690309957617,Flange-3484,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-001\ModuleAssembly-001-8-P-0501-1C0031,,,,Working,New,
640,18698646,18703274,Flange-3485,Geometry Group,SP3D Entity,688efe1e-11e5-5526-85ec-535eb48cb6b3,@a=0027!!80005##720109690309957611,Flange-3485,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-001\ModuleAssembly-001-8-P-0501-1C0031,,,,Working,New,
641,18703731,18708337,Flange-3486,Geometry Group,SP3D Entity,d2297af9-c742-50db-9322-760be0d3c0a4,@a=0027!!80005##720109690309957599,Flange-3486,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-001\ModuleAssembly-001-8-P-0501-1C0031,,,,Working,New,
642,18713987,18718604,Flange-3480,Geometry Group,SP3D Entity,db18fa0b-334d-55fa-abd9-8941380be63a,@a=0027!!80005##720109690309957807,Flange-3480,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-001\ModuleAssembly-001-8-P-0502-1C0031,,,,Working,New,
643,18719061,18723678,Flange-3481,Geometry Group,SP3D Entity,debe165b-edbf-55a0-bef2-18d710715114,@a=0027!!80005##720109690309957809,Flange-3481,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-001\ModuleAssembly-001-8-P-0502-1C0031,,,,Working,New,
644,18724135,18728764,Flange-3482,Geometry Group,SP3D Entity,d7f1a64e-7e39-5475-b811-098ba503ba97,@a=0027!!80005##720109690309957803,Flange-3482,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-001\ModuleAssembly-001-8-P-0502-1C0031,,,,Working,New,
645,18733703,18738325,Flange-3455,Geometry Group,SP3D Entity,02f3ed40-da01-52a0-a257-43a5e27e043b,@a=0027!!80005##720109690368441104,Flange-3455,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-002\ModuleAssembly-001-10-P-0001-1C0031,,,,Working,New,
646,18738782,18743404,Flange-3456,Geometry Group,SP3D Entity,bb4d7856-3d8b-5447-a213-6f71d1856675,@a=0027!!80005##720109690368441106,Flange-3456,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-002\ModuleAssembly-001-10-P-0001-1C0031,,,,Working,New,
647,18743861,18748482,Flange-3457,Geometry Group,SP3D Entity,704cafdc-b2fc-5f6d-9946-dab733946d1d,@a=0027!!80005##720109690368441089,Flange-3457,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-002\ModuleAssembly-001-10-P-0001-1C0031,,,,Working,New,
